,created_at,PM1.0_ATM_ug/m3,PM2.5_ATM_ug/m3,PM10.0_ATM_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,>=0.3um/dl,>=0.5um/dl,>=1.0um/dl,>=2.5um/dl,>=5.0um/dl,>=10.0um/dl,PM1.0_ATM_B_ug/m3,PM2.5_ATM_B_ug/m3,PM10.0_ATM_B_ug/m3,UptimeMinutes_B,ADC,Pressure_hpa,PM1.0_CF1_B_ug/m3,PM2.5_CF1_B_ug/m3,PM10.0_CF1_B_ug/m3,>=0.3_B_um/dl,>=0.5_B_um/dl,>=1.0_B_um/dl,>=2.5_B_um/dl,>=5.0_B_um/dl,>=10.0_B_um/dl
406,2022-04-07 13:33:00+00:00,0.8,1.68,3.68,116,0,69,24,0.8,1.68,3.68,341.05,99.1,16.78,4.29,2.24,2.24,1.38,2.46,2.87,36656,,961.5,1.38,2.46,2.87,543.23,131.03,21.18,1.79,0.51,0.51
407,2022-04-07 13:35:00+00:00,0.67,1.8,2.65,236,0,70,24,0.67,1.8,2.65,304.85,84.84,17.53,3.13,1.13,0.73,0.76,1.43,1.97,36568,0.03,961.53,0.76,1.43,1.97,397.24,102.48,14.62,2.48,0.38,0.38
408,2022-04-07 13:37:00+00:00,0.73,1.39,2.81,356,0,70,24,0.73,1.39,2.81,372.0,99.78,15.05,3.02,2.03,1.63,1.12,2.34,3.48,36568,0.03,961.51,1.12,2.34,3.48,436.82,122.11,21.07,4.25,1.39,0.75
409,2022-04-07 13:39:00+00:00,0.41,1.5,1.76,476,0,70,24,0.41,1.5,1.76,325.66,93.47,19.38,1.14,0.45,0.1,0.82,1.61,2.68,36504,0.03,961.61,0.82,1.61,2.68,331.71,86.0,13.89,2.96,1.75,0.36
410,2022-04-07 13:41:00+00:00,0.66,1.8,1.84,596,0,71,24,0.66,1.8,1.84,319.55,84.05,16.29,3.11,0.0,0.0,0.9,2.67,3.45,36504,0.03,961.61,0.9,2.67,3.45,406.34,109.38,23.24,6.45,0.76,0.59
411,2022-04-07 13:43:00+00:00,0.56,1.86,2.74,716,0,70,23,0.56,1.86,2.74,304.16,85.47,20.74,4.21,1.16,1.12,0.75,1.54,2.32,36504,0.03,961.68,0.75,1.54,2.32,332.0,90.0,15.89,3.19,0.88,0.88
412,2022-04-07 13:45:00+00:00,0.82,1.81,2.39,836,0,69,24,0.82,1.81,2.39,311.79,89.26,19.96,1.72,0.81,0.49,0.68,1.51,2.12,36504,0.03,960.42,0.68,1.51,2.12,364.42,86.95,16.11,2.21,0.91,0.39
413,2022-04-07 13:47:00+00:00,0.53,1.67,2.53,956,0,70,23,0.53,1.67,2.53,271.26,74.7,18.0,4.25,1.09,1.09,0.48,1.21,1.55,36504,0.03,961.68,0.48,1.21,1.55,328.61,74.89,12.89,1.61,0.54,0.54
414,2022-04-07 13:49:00+00:00,1.05,2.52,4.79,1076,0,71,23,1.05,2.52,4.79,411.59,114.2,23.93,5.5,3.14,2.68,0.82,2.04,3.96,36504,0.03,961.72,0.82,2.04,3.96,463.89,118.81,22.77,4.56,2.32,1.47
415,2022-04-07 13:51:00+00:00,1.02,1.89,2.81,1196,0,71,23,1.02,1.89,2.81,345.67,95.98,15.11,2.59,0.93,0.93,0.79,1.69,2.36,36504,0.03,961.75,0.79,1.69,2.36,385.45,94.28,15.55,2.83,0.83,0.38
416,2022-04-07 13:53:00+00:00,0.36,0.88,1.95,116,0,70,23,0.36,0.88,1.95,246.71,70.29,12.29,1.48,1.0,1.0,1.0,2.03,2.58,36656,,961.74,1.0,2.03,2.58,469.8,96.0,14.0,1.4,0.6,0.60
417,2022-04-07 13:55:00+00:00,0.71,1.2,2.68,236,0,70,23,0.71,1.2,2.68,254.41,74.95,15.14,2.93,1.54,1.21,0.84,1.77,2.89,36568,0.03,961.79,0.84,1.77,2.89,406.53,91.26,14.21,3.68,1.47,1.02
418,2022-04-07 13:57:00+00:00,0.47,1.05,2.39,356,0,70,24,0.47,1.05,2.39,278.34,74.47,14.44,2.68,1.69,0.92,0.91,1.73,2.13,36568,0.03,961.79,0.91,1.73,2.13,363.71,93.2,17.24,2.0,0.76,0.00
419,2022-04-07 13:59:00+00:00,0.53,1.18,1.77,476,0,70,24,0.53,1.18,1.77,272.63,76.84,15.4,1.79,0.63,0.49,1.3,2.07,2.7,36568,0.03,961.86,1.3,2.07,2.7,425.36,104.82,14.21,2.11,0.5,0.46
420,2022-04-07 14:01:00+00:00,0.59,1.32,2.88,596,0,70,24,0.59,1.32,2.88,336.16,87.48,18.57,3.07,1.75,1.57,0.74,1.12,1.63,36568,0.03,961.89,0.74,1.12,1.63,331.26,82.0,8.46,1.23,0.53,0.53
421,2022-04-07 14:03:00+00:00,0.22,1.4,1.96,716,0,70,24,0.22,1.4,1.96,263.18,74.07,15.75,2.8,0.95,0.51,0.71,1.41,2.55,36504,0.03,962.04,0.71,1.41,2.55,346.86,84.72,16.72,2.76,1.72,0.86
422,2022-04-07 14:05:00+00:00,0.6,1.02,2.07,836,0,70,24,0.6,1.02,2.07,250.11,69.81,13.93,1.86,0.98,0.98,0.7,1.77,2.45,36504,0.03,961.97,0.7,1.77,2.45,364.39,89.14,17.0,1.57,0.79,0.79
423,2022-04-07 14:07:00+00:00,0.68,1.14,2.4,956,0,70,23,0.68,1.14,2.4,315.26,86.46,18.23,1.75,1.44,1.44,0.53,1.49,3.16,36504,0.03,962.01,0.53,1.49,3.16,356.51,92.76,17.02,4.4,1.71,1.71
424,2022-04-07 14:09:00+00:00,0.89,1.43,1.43,1076,0,69,23,0.89,1.43,1.43,288.8,84.2,11.43,0.14,0.0,0.0,0.56,1.39,2.67,36504,0.03,962.18,0.56,1.39,2.67,343.47,89.72,17.16,2.91,1.75,1.23
425,2022-04-07 14:11:00+00:00,0.38,1.18,2.6,1196,0,70,23,0.38,1.18,2.6,267.6,76.55,15.78,2.87,1.64,1.64,0.75,1.69,2.97,36504,0.03,962.26,0.75,1.69,2.97,474.1,100.78,17.63,3.76,1.97,0.71
426,2022-04-07 14:13:00+00:00,1.12,2.27,3.44,116,0,70,23,1.12,2.27,3.44,397.1,108.54,16.93,4.05,1.66,1.66,1.1,1.9,2.38,36656,,962.27,1.1,1.9,2.38,471.6,96.9,13.75,2.2,0.9,0.30
427,2022-04-07 14:15:00+00:00,0.33,0.82,1.76,236,0,70,23,0.33,0.82,1.76,236.78,61.56,12.18,1.96,1.31,0.95,0.46,1.31,2.34,36504,0.03,962.28,0.46,1.31,2.34,308.24,82.0,18.95,2.85,1.29,1.29
428,2022-04-07 14:17:00+00:00,0.4,1.03,2.95,356,0,70,23,0.4,1.03,2.95,281.65,75.0,13.83,4.37,2.33,2.23,0.8,1.64,1.96,35936,0.03,962.37,0.8,1.64,1.96,294.86,80.82,13.18,2.64,0.36,0.36
429,2022-04-07 14:19:00+00:00,0.24,0.88,1.93,476,0,70,22,0.24,0.88,1.93,222.97,62.25,13.05,2.51,1.22,0.88,0.04,0.7,1.11,36128,0.03,962.37,0.04,0.7,1.11,265.5,58.25,12.82,1.43,0.46,0.00
430,2022-04-07 14:21:00+00:00,0.26,1.91,2.58,596,0,70,22,0.26,1.91,2.58,277.13,75.72,18.83,6.3,0.94,0.94,0.34,1.02,1.5,36128,0.03,962.48,0.34,1.02,1.5,305.36,70.75,9.43,2.5,0.5,0.50
431,2022-04-07 14:23:00+00:00,0.51,0.88,2.84,716,0,70,23,0.51,0.88,2.84,263.37,75.96,16.6,2.98,2.11,2.11,0.75,1.53,1.96,35792,0.03,962.42,0.75,1.53,1.96,331.79,81.75,14.42,2.46,0.39,0.39
432,2022-04-07 14:25:00+00:00,0.41,0.85,2.11,836,0,70,22,0.41,0.85,2.11,243.25,68.34,16.56,2.3,1.51,1.51,0.2,1.17,1.94,35792,0.03,962.49,0.2,1.17,1.94,272.0,76.74,17.48,2.63,1.0,0.59
433,2022-04-07 14:27:00+00:00,0.46,1.05,1.23,956,0,71,21,0.46,1.05,1.23,270.26,76.49,11.44,1.19,0.18,0.18,0.36,1.14,1.64,36080,0.03,962.42,0.36,1.14,1.64,258.52,68.62,14.14,1.66,0.41,0.41
434,2022-04-07 14:29:00+00:00,0.34,1.09,2.38,1076,0,71,22,0.34,1.09,2.38,245.46,70.32,14.14,3.71,1.32,1.32,0.46,0.95,0.95,36080,0.03,962.52,0.46,0.95,0.95,271.26,71.58,10.56,0.98,0.0,0.00
435,2022-04-07 14:31:00+00:00,0.33,0.71,1.33,1196,0,71,21,0.33,0.71,1.33,229.34,64.26,14.1,1.14,0.17,0.17,0.52,1.16,2.5,36080,0.03,962.53,0.52,1.16,2.5,312.43,71.89,11.71,4.04,1.79,0.96
436,2022-04-07 14:33:00+00:00,0.32,0.95,2.05,115,0,71,21,0.32,0.95,2.05,255.0,70.17,13.71,2.49,1.51,1.51,0.26,1.0,3.08,36656,,962.58,0.26,1.0,3.08,326.31,80.21,16.05,4.21,2.51,2.51
437,2022-04-07 14:35:00+00:00,0.69,1.4,1.76,235,0,70,21,0.69,1.4,1.76,287.62,76.31,13.67,1.71,0.44,0.44,0.29,0.95,1.36,36568,0.03,962.48,0.29,0.95,1.36,243.0,66.83,8.86,1.0,0.48,0.48
438,2022-04-07 14:37:00+00:00,0.38,0.86,2.53,355,0,71,21,0.38,0.86,2.53,228.21,64.59,15.28,3.1,2.31,1.41,0.5,1.29,2.3,36568,0.03,962.58,0.5,1.29,2.3,363.75,84.61,14.61,3.14,1.43,0.93
439,2022-04-07 14:39:00+00:00,0.4,1.12,2.14,475,0,71,21,0.4,1.12,2.14,258.16,74.02,15.02,2.32,1.58,1.12,0.62,1.44,2.73,36568,0.03,962.6,0.62,1.44,2.73,273.6,71.53,10.87,4.29,1.75,1.75
440,2022-04-07 14:41:00+00:00,0.11,0.91,3.32,595,0,71,20,0.11,0.91,3.32,253.32,70.32,16.35,4.0,3.26,2.0,0.66,1.34,1.69,36568,0.03,962.57,0.66,1.34,1.69,368.59,86.86,12.79,1.83,0.0,0.00
441,2022-04-07 14:43:00+00:00,0.07,1.12,1.82,715,0,72,21,0.07,1.12,1.82,236.52,63.79,18.61,3.32,1.0,0.39,0.39,1.28,1.28,36568,0.03,962.65,0.39,1.28,1.28,317.79,74.0,11.54,1.44,0.0,0.00
442,2022-04-07 14:45:00+00:00,0.27,0.58,0.97,835,0,71,20,0.27,0.58,0.97,216.97,60.73,8.75,1.53,0.51,0.51,0.29,1.38,2.57,36504,0.03,962.5,0.29,1.38,2.57,344.17,81.48,15.34,2.83,1.76,0.90
443,2022-04-07 14:47:00+00:00,0.19,1.11,2.14,955,0,69,20,0.19,1.11,2.14,245.74,68.0,18.89,4.25,1.23,1.23,0.29,1.04,1.6,36504,0.03,960.25,0.29,1.04,1.6,288.55,76.65,12.55,2.4,0.95,0.44
444,2022-04-07 14:49:00+00:00,0.38,1.12,2.45,1075,0,71,20,0.38,1.12,2.45,263.48,76.52,16.57,2.34,1.28,1.28,0.26,1.34,2.52,36504,0.03,962.68,0.26,1.34,2.52,280.34,71.52,13.83,3.45,1.79,0.83
445,2022-04-07 14:51:00+00:00,0.54,0.86,1.39,1195,0,71,20,0.54,0.86,1.39,234.27,69.46,9.75,0.89,0.68,0.68,0.58,1.46,2.12,36504,0.03,962.65,0.58,1.46,2.12,327.16,74.28,11.96,2.25,0.88,0.88
446,2022-04-07 14:53:00+00:00,0.21,1.33,2.33,116,0,70,20,0.21,1.33,2.33,199.71,58.69,16.86,4.43,1.33,1.33,0.26,1.21,1.92,36656,,962.62,0.26,1.21,1.92,245.69,62.97,14.56,2.72,0.56,0.56
447,2022-04-07 14:55:00+00:00,0.56,1.29,2.58,236,0,71,20,0.56,1.29,2.58,260.62,71.36,13.38,3.56,1.53,1.53,0.55,1.15,2.07,36568,0.03,962.81,0.55,1.15,2.07,265.8,72.7,13.5,3.07,1.0,0.50
448,2022-04-07 14:57:00+00:00,0.32,0.8,1.66,356,0,71,20,0.32,0.8,1.66,250.47,66.93,13.08,2.24,1.05,1.05,0.11,1.09,1.45,36568,0.03,962.74,0.11,1.09,1.45,288.75,70.89,15.61,1.39,0.43,0.43
449,2022-04-07 14:59:00+00:00,0.26,1.43,2.38,476,0,70,19,0.26,1.43,2.38,246.98,68.84,16.5,3.83,0.93,0.52,0.3,1.23,1.64,36568,0.03,962.88,0.3,1.23,1.64,291.74,69.32,14.49,1.92,0.64,0.49
450,2022-04-07 15:01:00+00:00,0.29,1.48,1.95,596,0,70,20,0.29,1.48,1.95,285.96,76.82,15.95,3.57,0.54,0.54,0.19,1.28,3.6,36568,0.03,962.68,0.19,1.28,3.6,312.0,75.1,15.76,5.59,3.28,1.72
451,2022-04-07 15:03:00+00:00,0.38,1.51,3.04,716,0,71,20,0.38,1.51,3.04,259.85,77.31,22.62,4.73,1.71,1.27,0.47,0.78,1.17,36568,0.03,962.79,0.47,0.78,1.17,265.66,69.21,9.41,1.9,0.17,0.00
452,2022-04-07 15:05:00+00:00,0.25,1.02,1.12,836,0,72,20,0.25,1.02,1.12,256.32,67.35,10.95,1.23,0.04,0.04,0.39,0.68,2.68,36568,0.03,962.95,0.39,0.68,2.68,320.89,74.93,15.29,3.5,2.25,2.25
453,2022-04-07 15:07:00+00:00,0.33,1.09,2.49,956,0,72,19,0.33,1.09,2.49,252.26,69.05,15.09,3.16,1.82,1.4,0.42,1.15,3.11,36568,0.03,962.81,0.42,1.15,3.11,289.2,79.49,16.87,4.04,2.33,2.15
454,2022-04-07 15:09:00+00:00,0.61,1.67,2.61,1076,0,72,19,0.61,1.67,2.61,290.37,78.19,21.37,4.7,0.6,0.6,0.54,1.11,1.93,36568,0.03,962.85,0.54,1.11,1.93,312.11,78.14,12.21,2.53,0.84,0.53
455,2022-04-07 15:11:00+00:00,0.2,0.78,2.07,1196,0,71,19,0.2,0.78,2.07,236.94,62.33,12.56,4.33,1.37,1.0,0.09,0.57,1.83,36568,0.03,962.7,0.09,0.57,1.83,291.0,71.69,11.14,3.34,1.66,1.66
456,2022-04-07 15:13:00+00:00,0.4,1.26,2.1,116,0,72,19,0.4,1.26,2.1,260.07,68.17,14.43,3.29,1.19,1.19,0.51,1.15,2.0,36656,,962.81,0.56,1.15,2.0,268.1,73.37,9.17,2.63,1.17,0.00
457,2022-04-07 15:15:00+00:00,0.43,1.7,2.48,236,0,72,19,0.43,1.7,2.48,271.98,75.61,15.54,4.14,0.96,0.96,0.76,1.76,2.98,36256,0.03,962.84,0.76,1.76,2.98,372.93,94.66,18.59,4.48,1.69,1.21
458,2022-04-07 15:17:00+00:00,0.24,1.12,2.02,356,0,72,19,0.24,1.12,2.02,232.29,64.91,12.62,3.1,0.9,0.9,0.39,1.67,2.06,36256,0.03,962.73,0.39,1.67,2.06,310.11,77.48,18.78,2.33,0.11,0.11
459,2022-04-07 15:19:00+00:00,0.53,1.61,2.32,476,0,72,19,0.53,1.61,2.32,292.32,75.58,15.36,2.75,0.75,0.75,0.65,1.42,1.98,36568,0.03,962.85,0.65,1.42,1.98,274.69,73.82,14.36,2.87,0.8,0.33
460,2022-04-07 15:21:00+00:00,0.29,1.46,2.88,596,0,68,19,0.29,1.46,2.88,283.12,79.04,20.18,3.39,1.57,1.57,0.54,1.16,1.91,36568,0.03,960.35,0.54,1.16,1.91,299.16,78.91,10.56,1.51,1.19,0.42
461,2022-04-07 15:23:00+00:00,0.4,1.04,1.49,716,0,73,18,0.4,1.04,1.49,267.55,72.35,13.45,1.31,0.47,0.47,0.92,2.05,3.19,36504,0.03,962.93,0.92,2.05,3.19,348.61,93.63,17.53,4.78,1.73,1.22
462,2022-04-07 15:25:00+00:00,0.52,1.14,1.78,836,0,72,18,0.52,1.14,1.78,278.38,73.55,16.28,1.48,0.76,0.76,0.23,1.09,2.12,36504,0.03,962.84,0.23,1.09,2.12,270.11,66.54,15.57,3.79,1.29,0.50
463,2022-04-07 15:27:00+00:00,0.75,1.75,4.16,956,0,71,18,0.75,1.75,4.16,307.47,85.67,20.35,5.93,2.6,2.42,0.46,1.44,3.28,36504,0.03,962.88,0.46,1.44,3.28,321.22,76.81,13.56,3.85,2.26,1.89
464,2022-04-07 15:29:00+00:00,0.53,1.44,3.89,1076,0,72,18,0.53,1.44,3.89,369.05,100.44,21.26,6.0,2.74,2.07,1.5,2.55,3.6,36504,0.03,962.74,1.5,2.55,3.6,449.79,124.62,20.38,2.38,1.28,0.90
465,2022-04-07 15:31:00+00:00,1.89,3.93,6.14,1196,0,72,18,1.89,3.93,6.14,489.32,145.62,31.95,8.14,2.89,2.25,1.76,3.43,4.52,36504,0.03,962.73,1.76,3.43,4.52,535.86,144.38,30.03,3.17,1.41,0.52
466,2022-04-07 15:33:00+00:00,2.14,3.43,4.81,116,0,73,18,2.14,3.43,4.81,508.79,149.1,29.45,2.57,1.81,1.81,1.59,2.74,3.41,36656,,962.8,1.59,2.74,3.41,494.31,137.95,16.46,2.82,0.92,0.31
467,2022-04-07 15:35:00+00:00,1.15,2.4,4.33,236,0,73,18,1.15,2.4,4.33,462.49,123.4,25.84,5.13,2.51,2.15,1.31,2.53,4.39,36568,0.03,962.85,1.31,2.53,4.39,424.27,112.24,20.34,5.29,2.2,2.20
468,2022-04-07 15:37:00+00:00,1.05,1.86,4.07,356,0,72,17,1.05,1.86,4.07,350.33,99.36,23.43,3.97,2.41,2.41,1.23,2.68,5.0,36568,0.03,962.83,1.23,2.68,5.0,469.93,119.71,25.36,5.54,2.61,2.61
469,2022-04-07 15:39:00+00:00,0.84,2.32,3.35,476,0,73,17,0.84,2.32,3.35,337.47,95.12,22.39,5.02,1.4,1.4,0.71,1.73,2.02,36568,0.03,962.84,0.71,1.73,2.02,388.29,102.54,17.04,2.43,0.5,0.04
470,2022-04-07 15:41:00+00:00,0.89,1.91,3.86,596,0,72,18,0.89,1.91,3.86,359.04,99.68,21.79,3.04,2.54,2.54,0.93,1.8,2.93,36232,0.03,962.88,0.93,1.8,2.93,383.68,99.21,15.25,3.46,0.89,0.89
